Escenario C (Música),,,
PUERREIRA ,"$900,000",,
—,,,
—,,,
ARTISTA REGIONAL 1 (LIMARI)//VALLE DE COPAOS Valle de Copaos,"$800,000",7,
—,,,
—,,,
TUNACOLA,,,
—,,,
—,,,
MARINEROS,"$2,499,000",,
—,,,
—,,,
ARTISTA EXCENTRICAPIOLA Excentricapiola,"$300,000",3,
ARTISTA LILIA LILLIA,"$580,000",8,
FOTHER MOCKERS ,"$7,000,000",,
,,,
,,,
,,,
,,,
,,,
,,,
Escenario C (Música),,,
ARTISTA ULS,$0,,
—,,,
—,,,
ARTISTA REGIONAL 5 (CHOAPA) CURI ROSALES Curi Rosales,"$500,000",4,
—,,,
—,,,
ASTRONAUTIKO,,,
—,,,
—,,,
CHINI PNG,"$1,547,000",,
—,,,
—,,,
ARTISTA LOCAL (JAZZ) LOBITOS Los Lobitos,"$600,000",5,
ARTISTA LOCAL FUNK MACHINE Fonk Machine,"$600,000",8,
LOS TETAS,"$8,330,000",13,MAS 13 BUS+ALOJAMIENTO (3 CABAÑAS DE 5) +ALIMENTACIÓN  POR EL DÍA 
,,,
,,,
TOTAL,"$23,656,000",48,
CONTEMPLADO ,"$20,446,000",,
DIF,"-$3,210,000",,