 ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
***,Escenario A (Teatro),Escenario B (Circo/Danza),Escenario C (Música),Escenario D (Títeres),Escenario E (Espacio Literatura) ok,Escenario F (Talleres),Escenario H (Espacio IMREC),Escenario I (Espacio Cecrea),Instalaciones,,,,,,,,,,
15:00 – 15:30,—,—,ENSAMBLE POPULAR EXPERIMENTAL ENSAMBLE POPULAR,Función 1//CUENTA CUENTOS// CUENTOS AL ANDAR CuentaCuentos: Cuentos Al Andar ok,"Presentación del libro “Apuntes de tres siglos. Liceo de Niñas Gabriela Mistral de La Serena” de Orieta Collao Mierzejerosky y Gabriel Canihuante Maureira, Nueva Mirada Ediciones.
Presenta Lorena Arenas López
",,,,Instalaciones,,,,,,,,,,
15:30 – 16:00,GASPAR SEMILLA   ok,Función 1 // BALLET FOLKLÓRICO LA SERENA,—,FOTOS BAJA CALIDAD,,Talleres 1 // DISEÑA TU PROPIO AZULEJO CERÁMICO  Talleres_Disena tu propio azulejo cerámico,Actividad 1,TALLER TUNACOLA,CÁMARA OSCURA INMERSIVA Intervenciones Artísticas con Talleres_Cámara Oscura Inmersiva ok,,,,TEATRO,MONTAJE,DESMONTAJE ,DURACION OBRA ,MONTO ,,
16:00 – 16:30,Obra de teatro familiar: Gaspar Semilla,Fiestas de Chile,—,,"Presentación Literaria Solido Comix N.º 20, Solid Ediciones
Presenta Marcelo Tapia
",,,,"FONDO MARINO, INSTALACIÓN TEXTIL Intervenciones Artísticas con Talleres_FONDO MARINO, INSTALACIÓN TEXTIL ok",,,,ZUMBIDO DE ALARMA ,???,????,45,"$950,000",TEATRO,
16:30 – 17:00,—,—,MARINEROS ,Función 2// HISTORIA DE LA BATERIA PARA NIÑOS Historia de la bateria para niños  ok,,,,,,,,,DESCARRILADOS ,5 HORAS ,1 HORA ,105,"$1,200,000",TEATRO,
17:00 – 17:30,ZUMBIDO DE ALARMA (45M) ok,Función 2//  LOLLAPAYASAS ok,—,,"Presentación del libro “Extrapicante y otros relatos perversos” de Claudio Ríos Espinoza, Editorial Caburé.
Sech. Sociedad de Escritores de Chile
Presenta Viviana Larrondo.",,Actividad 3,ESPACIO DE BIENESTAR,,,,,LUCILA DEL VALLE ,,,,"$1,200,000",TEATRO,
17:30 – 18:00,Obra de Teatro Zumbido de Alarma,"Lollapayasa, un concierto de payasas",—,—,"Presentación del Libro “Recetario de recuerdos” de Anni Garrido Rodríguez, Marciano Ediciones.
Sech. Sociedad de Escritores de Chile
Presenta Clo Domínguez
",Talleres 2 // Taller de Alfarería  Talleres_Taller de Alfarería,,,,,,,RECUERDO,3 HRS,1:30 HORA ,50,"$1,200,000",TEATRO,
18:00 – 18:30, ,—,VALLE DE COPAOS Valle de Copaos ok,Función 3,"Presentación del libro “Ollie” de Francisca Torrealba y Belén Varas, Marsalado Ediciones
Presenta Patricia Vega
",,,,,,,,LAZARILLO DE TORMES,??,???,45,"$1,000,000",TEATRO,CHOAPA
18:30 – 19:00,EL LAZARILLO DE TORMES ok,ZOOLÓGICAS ok,—,—,,,Actividad 4,Actividad 3,,,,,NOTA 7 MUSICAL ,???,????,????,"$1,000,000",TEATRO,LIMARÍ
19:00 – 19:30,"Obra Familiar ""El Lazarillo de Tormes""",Suena Flamenco,—,,"Presentación del Libro “Lecturas Aberrantes y Hermenéutica Esquizo” de Cristian Geisse. Bordelibre Ediciones
Presenta Paula Ceballos Huerta
",,,,,,,,EN BUSQUEDA DEL ARRECIFE ARCOIRIS ,????,????,????,"$1,200,000",DANZA ,
19:30 – 20:00,—,—, TUNA COLA ,Función 4,,Charlas 3//CHARLA CORTOMETRAJE MEMORIAS DE UN DESCONOCIDOCharlas_CHARLA CORTOMETRAJE MEMORIAS DE UN DESCONOCIDO ,,,,,,,MICO,2HORA ,1 HORA ,40 MINUTOS ,"$500,000",TEATRO,
20:00 – 20:30,"""RE-CUERDO, una hisotria sobre la vejez"" de La Feroz compañía de Treatro y Circo (PEND)",SIN PIES NI CABEZAS ok,—,-,"Presentación del Libro “Cuatro Arcos y un Puzle. Un método cooperativo para el aprendizaje  de técnicas de arco en el cuarteto de cuerdas” de Monserrat Trujillo – Peña y Leonardo Godoy Sepúlveda , Casa Editorial Universidad de La Serena
Presenta Michèle Rouliez
  ",,Actividad 4,Actividad 4,,,,,LOLAPAYASAS ,30,30,,1200000,,
20:30 – 21:00,"""Re-cuerdo, una hisotria sobre la vejez"" de La Feroz compañía de Treatro y Circo","""Sin Pies Ni Cabeza""-Espectáculo de circo contemporáneo",—,—,,,Actividad 6,,,,,,,,,,,,
21:00 – 21:30,—,—,EXCENTRICAPIOLA Excentricapiola ok,—,,,,,FOTOS OK,,,,,,,,,,
21:30 – 22:00,,LATIDOS DE FUEGO (INTERVENCION)Latidos de Fuego ok,LILIA LILLIA ok,—,,,,,38,,,,ZOOLOGICAS ,???,????,50 MINUTOS ,"$1,200,000",DANZA,
22:00 – 23:00,—,—,FOTHER MOCKERS ,—,,,,,,,,,CALLE CIRCO URBANO,1 HORA ,1 HORA ,????,"$1,200,000",CIRCO,
,,,,,,,,,,,,,SIN PIES NI CABEZA,1 HORA,1 HORA ,50 MINUTOS ,"$400,000",CIRCO,
,FOTOS OK,FOTOS OK,,,,,,,,,,,FLAMENCO ,???,????,60 MINUTOS ,"$1,200,000",DANZA,
,,,,,,, ,,,,,,LATIDOS DE FUEGO ,1 HORA ,1 HORA ,45 MINUTOS ,"$500,000",CIRCO,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
🕒 Horario,Escenario A (Teatro),Escenario B (Circo/Danza),Escenario C (Música),Escenario D (Títeres),Escenario E (Espacio Literatura) ok,Escenario F (Talleres),Escenario H (Espacio IMREC),Escenario I (Espacio Cecrea),Instalaciones,,,,AÑAÑUCAS: LOS COLORES DEL SEMIÁRIDO,TIENEN TALLER PERO NO SALE DURACIÓN ,,,"$1,200,000",INTERVENCIONES ,
15:00 – 15:30,—,—,PURREIRA,funcón 5 // Mico que dicen los árbolesMico ¿Qué dicen los árboles? ok,"Performance Tenebrescencia.
En música cordillera de la costa y Pía Ahumada en la lectura
Lectura – Performance – Música en Vivo
Taller Editorial Me Pego un Tiro
",,,,Instalaciones,,,,CÁMARA OSCURA INMERSIVA ,,,,"$1,197,200",,
15:30 – 16:00,OBRA 1// MESTIZA NAVEGANTE ok,Función 5 // CIRCO MINERO CIRCO MINERO,—,,,Talleres 3 // Taller de Alfarería Sonora: “Construcción de aerófonos de la Cultura Diaguita”  Talleres_aller de Alfarería Sonora: “Construcción de aerófonos  de la Cultura Diaguita”.,Actividad 5,TALLER ASTRONAUTIKO,CÁMARA OSCURA INMERSIVA Intervenciones Artísticas con Talleres_Cámara Oscura Inmersiva ok,,,,FONDO MARINO ,TIENE TALLER DE 3 HRS DESDE LAS 16:00,,,"$1,200,000",,
16:00 – 16:30,"""Mestiza Navegante"" en Festival ARC, a 80 años del Premio Nobel de Literatura de Gabriela Mistral",,—,,"Presentación del libro “Aves Migratorias en la región de Coquimbo” de Bastián Tello Campusano y Camila Guamán, La Guillotina Editorial",,,,,,,,,,,,,,
16:30 – 17:00,—,—,ARTISTA REGIONAL 5 (CHOAPA) CURI ROSALES Curi Rosales ok,,,,,,,,,,,,,,,,
17:00 – 17:30,NOTA 7 TEATRO MUSICAL ok,Función 6 // EN BUSQUEDA EL ARRECIFE ARCOIRIS (DANZA) ok,—,,"Presentación Literaria Conversas en RED “Gabriela Mistral y su vínculo con mujeres de su generación: Alfonsina Storni y Juana de América” Carol Jiménez y Paula Ceballos, Red Feminista del Libro",,Actividad 6,Actividad 6,AÑAÑUCAS LOS COLORES DEL SEMIÁRIDO Intervenciones Artísticas con Talleres_Añañucas: Los colores del semiárido ok,,,,,,,,,,
17:30 – 18:00,"""Nota 7"" Teatro- musical",En búsqueda del arrecife arcoíris,—,—,,"Talleres 8// BESTIARIO DEL PARQUE PEDRO DE VALDIVIA: DE LA BIODEVERSIDAD A LA BIOFANTASÍA Talleres_""Bestiario del Parque Pedro de Valdivia: De la Biodiversidad a la Biofantasía""",,,TALLER:COLORES DEL SEMIÁRIDO (PARTE DE INTERVENCIÓN) ok,,,,,,,,,,
18:00 – 18:30,—,—,ASTRONAUTIKO,Función 7// MARINA  Y SU INOVIDABLE VIAJE BAJO AL MARMarina y su inolvidable viaje bajo el mar  ok,"Presentación del libro “El Diario de Kurni” de Carmen Clavijo, Yatiediciones
Presenta: María Laura Donoso
",,,,,,,,,,,,,,
18:30 – 19:00,,SUENA FLAMENCO ok,—,—,,,Actividad 7,Actividad 7,,,,,,,,,,,
19:00 – 19:30,DESCARRILADOS  Descarrilados ok,Suena Flamenco,—,,"Presentación Literaria “Experiencia de fomento lector y apreciación literaria en sistemas carcelarios” participan Marcela Reyes Harris y Vania Lamas  Barraza, Ediciones Albricias",,,,,,,,,,,,,,
19:30 – 20:00,—,—,CHINI PNG ,,,CHARLA: “FUTURO COMICS: CREANDO UNA REVISTA DE CÓMICS DESDE CERO” Charlas_CHARLA: “FUTURO COMICS: CREANDO UNA REVISTA DE CÓMICS DESDE CERO”,,,,,,,,,,,,,
20:00 – 20:30,LUCILA DEL VALLE Lucila del Valle ok,CALLE ok,—,,"Presentación Libro Grandes Coquimbanos, Felipe Fernández, Librería de Libros. ",“FUTURO COMICS: CREANDO UNA REVISTA DE CÓMICS DESDE CERO” Charlas_CHARLA: “FUTURO COMICS: CREANDO UNA REVISTA DE CÓMICS DESDE CERO” Charlas_CHARLA: “FUTURO COMICS: CREANDO UNA REVISTA DE CÓMICS DESDE CERO”,Actividad 8,Actividad 8,,,,,,,,,,,
20:30 – 21:00,,"Calle, Circo Urbano",—,—,,,Actividad 6,,,,,,,,,,,,
21:00 – 21:30,,,ARTISTA LOCAL (JAZZ) LOBITOS Los Lobitos ok,,,,,,,,,,,,,,,,
21:30 – 22:00,,,ARTISTA LOCAL FUNK MACHINE Fonk Machine ok,,,,,,,,,,,,,,,,
22:00 – 23:00,,,LOS TETAS ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,—,,,,,,,,,,,,,,,,,,
,FOTOS OK,,,,,FOTOS OK,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
INVITADOS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TUNACOLA,3.5,PAGA CECREA,,,,,,,,,,,,,,,,,
ASTRONAUTIKO,"1,5 (mas impuesto)",PAGA CECREA,,,,,,,,,,,,,,,,,
PURREIRA,"$935,673",,30 dias,,,,,,,,,,,,,,,,
MARINEROS,"$2,100,000","$2,499,000",,,,,,,,,,,,,,,,,
CHINI PNG,"$1,300,000","$1,547,000",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PROGRAMACIÓN,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,CANTIDAD,MONTO BRUTO,TOTALES,,,,,,,,,,,,,,,,
TEATRO,,,,,,,,,,,,,,,,,,,
ELQUI,6,,"$5,876,316",,,,,,,,,,,,,,,,
LIMARI,1,"$1,000,000","$1,000,000",,,,,,,,,,,,,,,,
CHOAPA,1,"$1,000,000","$1,000,000",,,,,,,,,,,,,,,,
,,,,,"",,,,,,,,,,,,,,
,,,"$7,876,316",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DANZA/CIRCO,,,,,,,,,,,,,,,,,,,
ELQUI,4,,"$6,900,000",,,,,,,,,,,,,,,,
LIMARI,1,$0,$0,,,,,,,,,,,,,,,,
CHOAPA,1,$0,$0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,"$6,900,000",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
MÚSICA,,,,,,,,,,,,,,,,,,,
PURREIRA,1,"$900,000","$935,673",,,,,,,,,,,,,,,,
MARINEROS,1,"$2,499,000","$2,499,000",,,,,,,,,,,,,,,,
CHINI.PNG,1,"$1,547,000","$1,547,000",,,,,,,,,,,,,,,,
LOS TETAS,1,,"$8,330,000","700000+IVA +13 PER (ALOJM, TRASLADO ALIMENTACION ",,,,,,,,,,,,,,,
FOTHER MUCKERS,1,"$7,000,000","$7,000,000",exento,,,,,,,,,,,,,,,
ARTISTAS LOCALES ELQUI,3,$0,"$2,080,000",,,,,,,,,,,,,,,,
ARTISTA LOCALES LIMARI,1,"$800,000","$800,000",,,,,,,,,,,,,,,,
ARTISTAS LOCALES CHOAPA,1,"$900,000","$500,000",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,"$23,691,673",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TITERES,,,,,,,,,,,,,,,,,,,
ARTISTAS LOCALES,4,,"$1,400,000",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LITERATURA ,,,,,,,,,,,,,,,,,,,
PAGA LIBRO,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TALLERES,,,,,,,,,,,,,,,,,,,
TALLERES,4,,"$1,151,269",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Charlas,,,,,,,,,,,,,,,,,,,
CHARLAS ,2,"$150,000","$300,000",,,,,,,,,,,,,,,,
2 DE LA ULS POR DIA,4,,,,,,,,,,,,,,,,,,
ESPACIO IMREC,,,,,,,,,,,,,,,,,,,
DISPONIBLE,,,"$3,000,000",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ESPACIO CECREA,,,,,,,,,,,,,,,,,,,
PAGA CECREA,,,,,,2,,,,,,,,,,,,,
,,,,,,50,,,,,,,,,,,,,
INTERVENCIONES,,,,,,30,,,,,,,,,,,,,
INTERNCIONES,3,"$1,200,000","$3,600,000",,,10,,,,,,,,,,,,,
,,,,,,60,,,,,,,,,,,,,
,,,"$139,100,000",,,500,,,,,,,,,,,,,
TOTAL PROGRAMACIÓN,,,"$47,919,258",,,,ALTO,MTS2,,,,,,,,,,,
STREAMING,,,"$4,000,000",COT OK,,12,6,"149,04",,,,,,,,,,,
GRÁFICA,,,"$3,500,000",,,1,4,"30,84",,,,,,,,,,,
COMUNICACIONES,,,"$3,000,000",,,,,,,,,,,,,,,,
EQUIPO,,,"$15,000,000",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TECNICA,,,"$65,680,742",,,,,,,,,,,,,,,,
,,CONTRATACIÓN,,,,,,,,,,,,,,,,,
,,TÉCNICA PROYECTADA,"$65,680,742",,,,,,,,,,,,,,,,
,,PROGRAMACIÓN,"$47,919,258",,,,,,,,,,,,,,,,
,,TOTAL LICITACIÓN,"$113,600,000",,,,COT ,"$2,370,000","$2,820,300",#REF!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LO PROYECTADO,,,,,,,,,,,,,,,,,,,
,,,,,,COMPRAR ,,,,,,,,,,,,,
PAGO DE LA PROGRAMACIÓN,"$47,919,258",,,,,,,,,,,,,,,,,,
TÉCNICA,"$65,680,742",,,,,,,,,,,,,,,,,,
TODOS LOS ESCENARIO,,,,,240 m2 de mesh con ojetillos perimetrales con instalación,"$2,160,000",,,,,,,,,,,,,
LUCES / AUDIO / GENERADORES,,,,,160 m2 de mesh,"$1,440,000",,,,,,,,,,,,,
GUARDIAS,,,,,TOTAL,"$3,600,000",,,,,,,,,,,,,
BAÑOS,,,,,,,,,,,,,,,,,,,
CAMARINES,,,,,,COMPRAR ,,,,,,,,,,,,,
CATERING,,,,,,,,,,,,,,,,,,,