Horario,Escenario A (Teatro),,,,,,
15:00 – 15:30,—,,CANTIDAD DE PERSONAS ,,COMPAÑIA,RESEÑA,
15:30 – 16:00,GASPAR SEMILLA,,,,,,
16:00 – 16:30,Obra de teatro familiar: Gaspar Semilla,"$800,000",5,,NO SALE EN SU FICHA ,"Gaspar Semilla es una obra de teatro familiar que se crea a raiz de una problematica urgente: Los habitos alimenticios en la infancia. Gaspar es un nino que no se alimenta de la comida que su mama le cocina, por lo que al dormir es parte de una pesadilla, donde no existe la comida saludable y el es el unico encargado de recolectar diferentes semillas de colores para sobrevivir. En el transcurso conocera y se encontrara con amigos muy particulares que convertiran esta pesadilla en un aprendizaje para toda la vida.",30 MINUTOS 
16:30 – 17:00,—,,,,,,
17:00 – 17:30,Obra 1// ZUMBIDO DE ALARMA (45M),"$950,000",7,,TEATRO DE CABEZA,"Cuatro hermanas abejas han viajado miles de kilómetros para encontrar una nueva y mejor vida, pensando que la han encontrado, tierra de abundantes flores, comienzan a echar raíces hasta que el peligro que antes las acechaba, regresa. Se preguntan si tendrán energía para emigrar o tendrán las herramientas para defender su nuevo hogar del peligro que genera para ellas la utilización desmedida de la tecnología.",45 MINUTOS
17:30 – 18:00,Obra de Teatro Zumbido de Alarma,,,,,,
18:00 – 18:30,—,,,,,,
18:30 – 19:00,Obra 2// DESCARRILADOS (105 M),"$1,200,000",7,,COMPAÑÍA TEATRO DEL VIENTO,"Descarrilados narra, desde una perspectiva surrealista, el descarrilamiento del tren Elquino ocurrido en 1971 en Gualliguaica, comuna de Vicuña, Región de Coquimbo. El tren transportaba a 350 pasajeros provenientes de campamentos sociales organizados por el gobierno de la Unidad Popular. En la obra, los pasajeros reviven su viaje una y otra vez en un intento por desentrañar las causas de lo sucedido y descubrir la verdad.",
19:00 – 19:30,Descarrilados,,,,,,
19:30 – 20:00,—,,,,,,
20:00 – 20:30,Obra 3// LUCILA DEL VALLE (,"$1,200,000",7,,PATIPERRA TEATRO,"Esta obra familiar nos invita a recorrer la infancia y adolescencia de Lucila Godoy Alcayaga antes de convertirse en Gabriela Mistral. A través de episodios claves de su vida en el Valle de Elqui, conoceremos a la niña soñadora, sensible y apasionada por las letras, marcada por el amor incondicional de su madre y el apoyo fundamental de su hermana. Con una puesta en escena emotiva y cercana, la obra busca humanizar a la poetisa, mostrando los desafíos y alegrías que moldearon su espíritu y la impulsaron a convertirse en una de las voces más importantes de la literatura latinoamericana.",
20:30 – 21:00,Lucila del Valle,,,,,,
21:00 – 21:30,—,,,,,,
21:30 – 22:00,,,,,,,
22:00 – 23:00,—,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
🕒 Horario,Escenario A (Teatro),,,,,,
15:00 – 15:30,—,,,,,,
15:30 – 16:00,OBRA 4// MESTIZA NAVEGANTE,"$526,316",8,,LA FEROZ COMPAÑÍA ,"Re-cuerdo, una historia sobre la vejez” es una obra que mezcla el teatro y el circo para invitar al público a sumergirse en las complejas y a menudo emotivas experiencias que rodean la memoria, la vejez y las historias personales. A través de una narrativa poética y visualmente impactante, la obra aborda temas universales como el olvido, la nostalgia, y la importancia de mantener vivos los recuerdos de quienes somos y quienes fuimos.",60 MINNUTOS
16:00 – 16:30,"""Mestiza Navegante"" en Festival ARC, a 80 años del Premio Nobel de Literatura de Gabriela Mistral",,,,,,
16:30 – 17:00,—,,,,,,
17:00 – 17:30,NOTA 7 TEATRO MUSICAL,"$1,000,000",3,,COMPAÑÍA DE TEATRO ITINERANTE ASCETAS,"La puesta en escena está basada en el libro del mismo nombre escrito en España en 1554 por un autor anónimo. En el escenario se presenta la vida de Lazaro de Tormes con sus tres primeros amos: El Ciego, el Clérigo de Makeda y por ultimo el Escudero. La actuación se complementa con la participación de un narrador que los situa en el contexto histórico y literario en qué transcurre la historia. En un formato minimalista la puesta busca estimular la imaginación, el gusto por la lectura entre los estudiantes y la difusión de los derechos de niños, niñas y adolescentes.",45 MINUTOS
17:30 – 18:00,"""Nota 7"" Teatro- musical",,,,,,
18:00 – 18:30,—,,,,,,
18:30 – 19:00,LAZARILLO DE TORMES,"$1,000,000",5,,COMPAÑÍA TEATRO EL ENCANTO ,"La obra cuenta la historia de 4 estudiantes que son el grupo B del electivo de música del colegio… No se conocen y son muy distintos entre sí.
¿Qué pasa cuando se tiene la presión de una tarea con nota?
La Sofi, el Balo, el Bicho y la Pato, dan vida (y música) a Nota 7.",
19:00 – 19:30,"Obra Familiar ""El Lazarillo de Tormes""",,,,,,
19:30 – 20:00,—,,,,,,
20:00 – 20:30,Obra 6// RE-CUERDO,"$1,200,000",3,,AMAPOLA ARAYA,"un viaje “atemporal” por la vida de una Gabriela Mistral aveturera, a través de sus propios versos interpretados en diversos lenguajes, tales como, teatro, danza, poesía y sonoridades.",45 MINUTOS
20:30 – 21:00,"""Re-cuerdo, una hisotria sobre la vejez"" de La Feroz compañía de Treatro y Circo",,,,,,
21:00 – 21:30,,,,,,,
21:30 – 22:00,,,,,,,
22:00 – 23:00,,,,,,,
,,"$7,876,316",45,,,,
,,"$7,800,000",,,,,
,DIFERENCIA ,"-$76,316",,,,,